,zmage,izenačenja,porazi
0,455,41,504
1,557,109,334
2,586,163,251
3,601,193,206
4,748,143,109
5,784,98,118
6,752,142,106
7,839,95,66
8,813,117,70
9,807,163,30
10,822,141,37
11,793,149,58
12,871,126,3
13,839,138,23
14,841,137,22
15,878,104,18
16,883,90,27
17,898,87,15
18,846,117,37
19,841,102,57
20,882,111,7
21,869,110,21
22,866,109,25
23,882,104,14
24,843,142,15
25,810,127,63
26,864,126,10
27,801,157,42
28,823,161,16
29,875,120,5
30,870,126,4
31,837,143,20
32,816,143,41
33,819,129,52
34,889,107,4
35,885,111,4
36,878,120,2
37,870,113,17
38,895,98,7
39,867,132,1
40,885,114,1
41,878,115,7
42,812,169,19
43,820,166,14
44,825,157,18
45,828,171,1
46,877,123,0
47,868,126,6
48,820,128,52
49,837,153,10
50,794,170,36
51,863,134,3
52,842,124,34
53,839,155,6
54,832,160,8
55,848,151,1
56,887,96,17
57,823,172,5
58,819,162,19
59,847,149,4
60,868,128,4
61,891,101,8
62,860,103,37
63,851,140,9
64,866,115,19
65,863,101,36
66,894,94,12
67,906,89,5
68,842,129,29
69,770,201,29
70,794,194,12
71,819,159,22
72,891,106,3
73,861,132,7
74,820,176,4
75,792,195,13
76,906,87,7
77,882,115,3
78,830,141,29
79,853,142,5
80,887,113,0
